freq_x,ind_type,indic_is,unit,geo,TIME_PERIOD_x,OBS_VALUE,DATAFLOW,LAST UPDATE,freq_y,indic_de,TIME_PERIOD_y,population,OBS_FLAG,CONF_STATUS
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2013.0,2897770.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2014.0,2892394.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2015.0,2885796.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2016.0,2875592.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2017.0,2876591.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2018.0,2870324.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2019.0,2862427.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2020.0,2845955.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2021.0,2829741.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2022.0,2793592.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2018,0.08,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2023.0,2761785.0,,
Annual,All individuals,"Individuals bought or sold shares, bonds, funds or other investment services over the internet",Percentage of individuals,Albania,2019,0.33,ESTAT:TPS00001(1.0),09/01/25 23:00:00,Annual,Population on 1 January - total,2013.0,2897770.0,,
