Entity,Code,Year,Annual CO₂ emissions (per capita)
France,FRA,1873,1.71633
Ireland,IRL,1925,1.7142876
Poland,POL,1888,1.7137668
Lithuania,LTU,1946,1.7130353
Hungary,HUN,1944,1.7100856
Bulgaria,BGR,1956,1.7070715
Sweden,SWE,1922,1.7052435
Lithuania,LTU,1939,1.705108
Estonia,EST,1931,1.6990079
Belgium,BEL,1843,1.6982734
Spain,ESP,1957,1.6976907
France,FRA,1876,1.6970373
France,FRA,1875,1.6966279
Austria,AUT,1876,1.6957643
Netherlands,NLD,1878,1.6929923
Hungary,HUN,1913,1.6899588
France,FRA,1878,1.6892104
Lithuania,LTU,1938,1.6870257
Slovenia,SVN,1954,1.6836752
Netherlands,NLD,1862,1.6813024
Germany,DEU,1865,1.6752176
Latvia,LVA,1940,1.674408
Portugal,PRT,1969,1.6642947
Austria,AUT,1875,1.6621472
Slovakia,SVK,1878,1.6609854
Belgium,BEL,1839,1.6580431
France,FRA,1877,1.6577271
Sweden,SWE,1901,1.6525861
Belgium,BEL,1830,1.6524625
Romania,ROU,1930,1.646502
Germany,DEU,1866,1.6456321
Slovenia,SVN,1949,1.6337676
Cyprus,CYP,1964,1.6330148
Finland,FIN,1950,1.6327558
France,FRA,1874,1.6306893
Austria,AUT,1870,1.6263044
Germany,DEU,1945,1.626086
Malta,MLT,1967,1.6250976
Poland,POL,1935,1.623688
Cyprus,CYP,1963,1.6229025
Hungary,HUN,1928,1.6226385
Hungary,HUN,1938,1.6193192
Netherlands,NLD,1877,1.6155936
Croatia,HRV,1963,1.6120318
Bulgaria,BGR,1955,1.6083683
Netherlands,NLD,1876,1.6083318
Spain,ESP,1960,1.606596
Romania,ROU,1939,1.6062545
Hungary,HUN,1912,1.6024987
Poland,POL,1934,1.6007956
Lithuania,LTU,1937,1.599512
Slovakia,SVK,1877,1.5902592
France,FRA,1872,1.5900015
Romania,ROU,1952,1.5824984
Hungary,HUN,1939,1.5742077
Poland,POL,1886,1.5737689
Hungary,HUN,1911,1.5694267
Hungary,HUN,1909,1.5675647
Lithuania,LTU,1936,1.564012
Finland,FIN,1938,1.5638816
Poland,POL,1887,1.5619694
Hungary,HUN,1927,1.5576468
Slovenia,SVN,1950,1.5576211
Poland,POL,1885,1.5575616
Netherlands,NLD,1945,1.5489123
Greece,GRC,1964,1.54678
Poland,POL,1933,1.5392022
Hungary,HUN,1910,1.5355197
Lithuania,LTU,1945,1.5349206
Bulgaria,BGR,1954,1.531252
Belgium,BEL,1838,1.5260426
Italy,ITA,1955,1.5222338
Slovakia,SVK,1876,1.5189995
Hungary,HUN,1916,1.5177413
Romania,ROU,1940,1.5148817
Hungary,HUN,1915,1.5146629
Austria,AUT,1877,1.5132375
Cyprus,CYP,1960,1.5132152
Poland,POL,1884,1.5131547
Malta,MLT,1964,1.5110607
Germany,DEU,1864,1.5084821
Belgium,BEL,1837,1.5076544
Cyprus,CYP,1962,1.5049218
Poland,POL,1932,1.5048476
Hungary,HUN,1937,1.5038664
Hungary,HUN,1914,1.4982786
Hungary,HUN,1917,1.4969016
Austria,AUT,1861,1.496249
France,FRA,1869,1.4943383
Austria,AUT,1878,1.4907401
Hungary,HUN,1947,1.489893
Romania,ROU,1942,1.4818316
Austria,AUT,1862,1.4803985
Cyprus,CYP,1957,1.4773372
Poland,POL,1883,1.4730229
Portugal,PRT,1968,1.4727997
Latvia,LVA,1941,1.4705309
Romania,ROU,1929,1.4703976
Netherlands,NLD,1856,1.4632076
Lithuania,LTU,1944,1.4620899
France,FRA,1868,1.4608666
Slovenia,SVN,1951,1.4606949
Hungary,HUN,1923,1.4599559
Croatia,HRV,1962,1.459439
Hungary,HUN,1930,1.4534341
Cyprus,CYP,1961,1.45318
Denmark,DNK,1895,1.452626
Slovenia,SVN,1952,1.4518387
Austria,AUT,1860,1.4518162
Netherlands,NLD,1855,1.4503789
Malta,MLT,1965,1.4480484
Cyprus,CYP,1959,1.4480226
Netherlands,NLD,1860,1.4444765
Netherlands,NLD,1872,1.4444301
Sweden,SWE,1898,1.4437213
Latvia,LVA,1946,1.4436867
Spain,ESP,1956,1.4433476
Austria,AUT,1869,1.442899
Slovenia,SVN,1948,1.4415998
Romania,ROU,1948,1.4413784
Bulgaria,BGR,1953,1.4378033
Hungary,HUN,1908,1.433656
Croatia,HRV,1961,1.433112
Greece,GRC,1963,1.4328935
France,FRA,1867,1.431795
Slovenia,SVN,1953,1.4266568
Netherlands,NLD,1875,1.4193223
Belgium,BEL,1836,1.4191859
Romania,ROU,1949,1.4189986
Romania,ROU,1941,1.4174976
Austria,AUT,1943,1.4172183
Denmark,DNK,1894,1.41683
France,FRA,1866,1.4167037
Estonia,EST,1930,1.4156305
Hungary,HUN,1926,1.4129543
Portugal,PRT,1967,1.3991308
Sweden,SWE,1918,1.3991245
Finland,FIN,1947,1.3947167
Austria,AUT,1859,1.3946497
Austria,AUT,1916,1.3923472
Spain,ESP,1955,1.3841319
Poland,POL,1879,1.3834292
Latvia,LVA,1939,1.3832091
Finland,FIN,1936,1.3819674
Romania,ROU,1943,1.3804041
Austria,AUT,1944,1.3800573
Poland,POL,1874,1.3780894
Netherlands,NLD,1873,1.3771598
Croatia,HRV,1960,1.3771545
Spain,ESP,1954,1.3763365
Hungary,HUN,1924,1.3748047
Hungary,HUN,1906,1.3716346
Latvia,LVA,1938,1.3698189
Hungary,HUN,1907,1.36754
Netherlands,NLD,1870,1.3674717
Lithuania,LTU,1935,1.3671994
Hungary,HUN,1922,1.3667887
Sweden,SWE,1897,1.3653374
Netherlands,NLD,1871,1.3636847
Poland,POL,1882,1.3610665
Austria,AUT,1863,1.360496
Austria,AUT,1868,1.3602931
Spain,ESP,1953,1.3596464
Cyprus,CYP,1958,1.3592094
Italy,ITA,1954,1.3575833
Poland,POL,1880,1.3558813
Hungary,HUN,1918,1.3553615
Romania,ROU,1951,1.354584
Denmark,DNK,1892,1.3501059
Hungary,HUN,1900,1.3488451
Hungary,HUN,1901,1.3439308
Poland,POL,1876,1.3427811
Sweden,SWE,1919,1.3350625
Poland,POL,1875,1.333415
Portugal,PRT,1966,1.3325038
Poland,POL,1881,1.3299598
Romania,ROU,1928,1.3285432
Denmark,DNK,1891,1.328456
Finland,FIN,1939,1.3278352
Germany,DEU,1863,1.3269968
Spain,ESP,1952,1.3238144
France,FRA,1870,1.3234235
Hungary,HUN,1936,1.3232002
Netherlands,NLD,1917,1.3223999
Netherlands,NLD,1853,1.318547
Denmark,DNK,1889,1.3161232
Netherlands,NLD,1861,1.3161191
France,FRA,1871,1.3137927
France,FRA,1865,1.3076444
Latvia,LVA,1937,1.3038276
Portugal,PRT,1965,1.3015325
Netherlands,NLD,1857,1.297662
Bulgaria,BGR,1952,1.2927184
Poland,POL,1878,1.2899075
Hungary,HUN,1931,1.2895281
Slovenia,SVN,1947,1.2892925
Spain,ESP,1949,1.2848823
Latvia,LVA,1945,1.2840723
Malta,MLT,1966,1.2818606
Hungary,HUN,1905,1.2816154
Latvia,LVA,1936,1.2790061
Poland,POL,1873,1.2761083
Netherlands,NLD,1847,1.2757093
Croatia,HRV,1959,1.269927
Hungary,HUN,1904,1.2694923
Austria,AUT,1942,1.2643101
Hungary,HUN,1903,1.264206
Denmark,DNK,1893,1.2627403
Netherlands,NLD,1874,1.255897
Denmark,DNK,1890,1.2484511
France,FRA,1864,1.2454354
Denmark,DNK,1888,1.2447714
Poland,POL,1877,1.2447325
Finland,FIN,1949,1.2415742
Cyprus,CYP,1956,1.2407103
Hungary,HUN,1935,1.2407078
Belgium,BEL,1832,1.236363
Portugal,PRT,1964,1.2360169
Germany,DEU,1862,1.2347139
Sweden,SWE,1896,1.2343763
Malta,MLT,1963,1.232688
Hungary,HUN,1902,1.2277725
Hungary,HUN,1925,1.2262315
Austria,AUT,1865,1.2231227
Netherlands,NLD,1869,1.2209758
Hungary,HUN,1898,1.2182535
Estonia,EST,1913,1.2171966
Belgium,BEL,1835,1.2167125
Latvia,LVA,1944,1.2126081
Lithuania,LTU,1934,1.210513
Netherlands,NLD,1866,1.2087845
Sweden,SWE,1895,1.2021643
Netherlands,NLD,1863,1.2008796
Sweden,SWE,1917,1.1992307
Netherlands,NLD,1852,1.1980932
Sweden,SWE,1894,1.1977569
Poland,POL,1872,1.195611
Netherlands,NLD,1868,1.1948302
Netherlands,NLD,1848,1.1947267
Hungary,HUN,1934,1.1925633
Romania,ROU,1927,1.1886007
Greece,GRC,1962,1.1882747
Belgium,BEL,1833,1.1869234
Spain,ESP,1948,1.1857615
Romania,ROU,1950,1.1844456
Austria,AUT,1941,1.1829128
Italy,ITA,1953,1.1810175
Belgium,BEL,1831,1.180074
France,FRA,1863,1.1783826
Spain,ESP,1950,1.1769071
Austria,AUT,1857,1.17477
Romania,ROU,1945,1.1745869
Spain,ESP,1951,1.1740009
Hungary,HUN,1899,1.1726139
Hungary,HUN,1932,1.1681745
Austria,AUT,1864,1.1670947
France,FRA,1862,1.1638623
Hungary,HUN,1946,1.1631236
Denmark,DNK,1885,1.1594682
Hungary,HUN,1921,1.1553258
Malta,MLT,1959,1.1525705
Greece,GRC,1961,1.1503507
Netherlands,NLD,1867,1.148679
Croatia,HRV,1957,1.1410387
Spain,ESP,1947,1.1396006
Hungary,HUN,1933,1.1365888
Belgium,BEL,1834,1.1363375
Estonia,EST,1912,1.1343154
Netherlands,NLD,1858,1.1331831
Denmark,DNK,1883,1.1327895
Germany,DEU,1861,1.1302289
Bulgaria,BGR,1951,1.129451
Italy,ITA,1940,1.1245015
Portugal,PRT,1963,1.1239239
Latvia,LVA,1935,1.1209637
Denmark,DNK,1887,1.1173227
Denmark,DNK,1884,1.1167043
Croatia,HRV,1958,1.1159823
Finland,FIN,1934,1.1159648
Poland,POL,1871,1.1153967
Netherlands,NLD,1865,1.1120216
Austria,AUT,1867,1.108091
France,FRA,1861,1.1057359
Italy,ITA,1929,1.1057256
Greece,GRC,1960,1.1054817
Denmark,DNK,1886,1.1000811
Sweden,SWE,1891,1.0951165
Austria,AUT,1940,1.0917801
Slovenia,SVN,1929,1.087691
Estonia,EST,1914,1.0851486
Romania,ROU,1926,1.0836196
Italy,ITA,1935,1.0835172
Netherlands,NLD,1849,1.0827162
Romania,ROU,1946,1.0823876
Sweden,SWE,1892,1.0821141
Sweden,SWE,1893,1.0807339
Italy,ITA,1952,1.0766559
Hungary,HUN,1897,1.073314
Netherlands,NLD,1859,1.0695207
Hungary,HUN,1896,1.0684325
Italy,ITA,1939,1.0656236
Italy,ITA,1937,1.0608381
Croatia,HRV,1956,1.0605443
Malta,MLT,1955,1.0529842
Spain,ESP,1945,1.0512903
Bulgaria,BGR,1949,1.0498933
Bulgaria,BGR,1950,1.0475214
Italy,ITA,1938,1.0474766
Estonia,EST,1929,1.0461633
Italy,ITA,1951,1.0443088
Portugal,PRT,1962,1.0431707
Finland,FIN,1943,1.0426828
Sweden,SWE,1889,1.0399652
Sweden,SWE,1921,1.0378902
Estonia,EST,1916,1.0358483
Spain,ESP,1946,1.0356616
Spain,ESP,1929,1.0325426
Sweden,SWE,1890,1.0320369
Italy,ITA,1927,1.0319438
Austria,AUT,1856,1.0273466
France,FRA,1860,1.0249465
Estonia,EST,1909,1.0214485
Portugal,PRT,1961,1.0203565
Slovenia,SVN,1930,1.0146844
Estonia,EST,1911,1.0136671
Lithuania,LTU,1943,1.0127066
Netherlands,NLD,1850,1.0124792
Romania,ROU,1947,1.0105662
Malta,MLT,1960,1.0092409
Spain,ESP,1930,1.0083408
Germany,DEU,1860,1.003471
Lithuania,LTU,1933,1.0024956
Hungary,HUN,1895,1.0014025
Slovenia,SVN,1928,1.001007
Netherlands,NLD,1851,0.99962234
Germany,DEU,1858,0.9969994
Denmark,DNK,1882,0.99552697
Poland,POL,1870,0.9934912
Latvia,LVA,1934,0.9933825
Netherlands,NLD,1864,0.99217886
Slovenia,SVN,1940,0.9915945
Estonia,EST,1910,0.98967236
Finland,FIN,1935,0.98591286
Estonia,EST,1907,0.98514444
Italy,ITA,1930,0.9848254
Estonia,EST,1915,0.9838724
Malta,MLT,1958,0.98331326
Malta,MLT,1962,0.9829996
Finland,FIN,1929,0.9828837
Estonia,EST,1908,0.9793627
Italy,ITA,1941,0.9769447
Lithuania,LTU,1942,0.9746725
Estonia,EST,1928,0.9738105
Malta,MLT,1954,0.96855265
Spain,ESP,1944,0.96744514
Italy,ITA,1928,0.96636665
Greece,GRC,1959,0.9613895
France,FRA,1857,0.9551182
Italy,ITA,1934,0.95498157
Netherlands,NLD,1846,0.95263827
Spain,ESP,1931,0.9519823
Italy,ITA,1942,0.94786507
Hungary,HUN,1894,0.94572085
Poland,POL,1869,0.94349986
Austria,AUT,1939,0.9434641
France,FRA,1859,0.9428659
Spain,ESP,1927,0.9422007
Estonia,EST,1917,0.9416911
France,FRA,1856,0.9397137
Germany,DEU,1859,0.9394867
Romania,ROU,1944,0.9378902
Denmark,DNK,1881,0.9373464
Malta,MLT,1957,0.9363603
Slovenia,SVN,1946,0.93629384
Spain,ESP,1928,0.93566215
Croatia,HRV,1955,0.9348674
France,FRA,1858,0.9344241
Germany,DEU,1857,0.92877984
Finland,FIN,1928,0.9256961
Poland,POL,1868,0.92566586
Portugal,PRT,1960,0.92468673
Slovenia,SVN,1931,0.92422426
Italy,ITA,1926,0.923836
Finland,FIN,1933,0.9165417
Spain,ESP,1935,0.9136579
Austria,AUT,1855,0.9046697
Malta,MLT,1956,0.9028419
Spain,ESP,1943,0.9023273
Portugal,PRT,1959,0.9017019
France,FRA,1855,0.8994212
Lithuania,LTU,1932,0.8971185
Estonia,EST,1904,0.8955133
Sweden,SWE,1888,0.8952767
Denmark,DNK,1880,0.89376026
Slovenia,SVN,1927,0.89352405
Italy,ITA,1950,0.89305586
Estonia,EST,1906,0.8901392
Portugal,PRT,1957,0.88957316
Greece,GRC,1958,0.8881375
Hungary,HUN,1893,0.8875429
Slovenia,SVN,1937,0.8870223
Romania,ROU,1925,0.8870015
Spain,ESP,1932,0.88627225
Hungary,HUN,1945,0.88381654
Bulgaria,BGR,1948,0.8836286
Estonia,EST,1901,0.88317037
Slovakia,SVK,1875,0.88194185
Spain,ESP,1942,0.87990457
Germany,DEU,1856,0.87816346
Finland,FIN,1941,0.87141585
Estonia,EST,1900,0.87063795
Malta,MLT,1961,0.86946464
Finland,FIN,1931,0.8685915
Estonia,EST,1927,0.8676957
Slovenia,SVN,1939,0.86603546
Finland,FIN,1932,0.86526555
Spain,ESP,1916,0.86420304
Italy,ITA,1949,0.8625921
Austria,AUT,1938,0.86247826
Bulgaria,BGR,1943,0.8609498
Malta,MLT,1951,0.8600911
Spain,ESP,1913,0.85966367
Portugal,PRT,1958,0.85857713
Hungary,HUN,1892,0.8579724
Spain,ESP,1925,0.8538471
Finland,FIN,1927,0.8517659
Spain,ESP,1914,0.8481831
Bulgaria,BGR,1947,0.84665793
Finland,FIN,1946,0.8465546
Italy,ITA,1924,0.8440211
Cyprus,CYP,1954,0.8438122
Cyprus,CYP,1955,0.84374964
Italy,ITA,1931,0.84374666
Estonia,EST,1902,0.842828
Malta,MLT,1950,0.8410551
Spain,ESP,1940,0.83965087
Slovenia,SVN,1932,0.83612967
Latvia,LVA,1943,0.83555037
Spain,ESP,1924,0.83233833
Slovenia,SVN,1938,0.83212906
Spain,ESP,1934,0.8315435
Hungary,HUN,1891,0.8292912
Spain,ESP,1941,0.8279653
Slovakia,SVK,1874,0.8277216
Slovenia,SVN,1925,0.8264768
Italy,ITA,1913,0.8257717
Latvia,LVA,1933,0.8249136
Poland,POL,1867,0.8243138
Croatia,HRV,1954,0.82415926
Portugal,PRT,1956,0.822624
Slovenia,SVN,1935,0.82038283
Greece,GRC,1957,0.81955343
Germany,DEU,1855,0.8183968
Sweden,SWE,1885,0.81813866
Austria,AUT,1866,0.81592876
Spain,ESP,1926,0.8155083
Estonia,EST,1903,0.8146119
Italy,ITA,1947,0.80761707
Sweden,SWE,1887,0.8054096
Italy,ITA,1925,0.8051899
Slovenia,SVN,1936,0.80269635
Latvia,LVA,1942,0.80000114
Lithuania,LTU,1931,0.79939526
Austria,AUT,1853,0.7993166
Bulgaria,BGR,1942,0.799241
Spain,ESP,1918,0.7986781
Sweden,SWE,1886,0.7981141
Slovenia,SVN,1926,0.7977362
France,FRA,1854,0.79631627
Croatia,HRV,1949,0.7947023
Hungary,HUN,1890,0.79435486
Spain,ESP,1912,0.7940737
Malta,MLT,1952,0.7935993
Denmark,DNK,1879,0.79237485
Slovenia,SVN,1934,0.7910923
Poland,POL,1865,0.7899976
Estonia,EST,1905,0.7898221
Spain,ESP,1923,0.78686756
Austria,AUT,1854,0.7820265
Estonia,EST,1899,0.7778447
Spain,ESP,1933,0.7755896
Italy,ITA,1948,0.7752891
Slovakia,SVK,1873,0.77309674
Denmark,DNK,1876,0.7701726
Finland,FIN,1930,0.7700526
Italy,ITA,1912,0.7690465
Spain,ESP,1909,0.768789
Romania,ROU,1924,0.76834416
Slovenia,SVN,1933,0.7666923
Greece,GRC,1956,0.7633926
Poland,POL,1866,0.7632576
Sweden,SWE,1884,0.7620438
Spain,ESP,1917,0.7616103
Croatia,HRV,1950,0.7595675
Slovenia,SVN,1924,0.75950634
Bulgaria,BGR,1945,0.7589128
Italy,ITA,1936,0.757516
Spain,ESP,1919,0.7546415
Spain,ESP,1908,0.7545255
Denmark,DNK,1877,0.75363845
Spain,ESP,1910,0.7499924
Italy,ITA,1914,0.7491461
Finland,FIN,1942,0.74856985
Slovenia,SVN,1923,0.7473651
Spain,ESP,1915,0.74564177
Portugal,PRT,1955,0.745506
Malta,MLT,1953,0.7412122
Latvia,LVA,1932,0.74086833
Italy,ITA,1933,0.7399153
Spain,ESP,1911,0.7367331
Denmark,DNK,1875,0.735234
Italy,ITA,1911,0.7351726
Greece,GRC,1955,0.7307967
Spain,ESP,1907,0.72422665
Hungary,HUN,1889,0.7229818
Poland,POL,1864,0.7226562
Italy,ITA,1909,0.7191808
Bulgaria,BGR,1946,0.71882576
Slovakia,SVK,1872,0.7180656
Spain,ESP,1906,0.7169859
Italy,ITA,1910,0.7160845
Finland,FIN,1944,0.7144878
Croatia,HRV,1951,0.7124425
Italy,ITA,1923,0.70966345
Cyprus,CYP,1953,0.7086684
Denmark,DNK,1878,0.7086475
Croatia,HRV,1952,0.7077666
Spain,ESP,1905,0.70675224
Hungary,HUN,1920,0.70353717
Germany,DEU,1854,0.70180196
Austria,AUT,1852,0.7015607
Croatia,HRV,1948,0.7009255
Estonia,EST,1926,0.6984762
Croatia,HRV,1953,0.6972538
Sweden,SWE,1883,0.69357955
France,FRA,1853,0.6923327
Spain,ESP,1921,0.69182307
Portugal,PRT,1953,0.6915458
Slovenia,SVN,1922,0.69118553
Spain,ESP,1922,0.6898295
Italy,ITA,1932,0.68712944
Italy,ITA,1922,0.6858346
Sweden,SWE,1882,0.68161714
Hungary,HUN,1885,0.681377
Spain,ESP,1904,0.6811722
Sweden,SWE,1945,0.67989767
Estonia,EST,1898,0.67860097
Hungary,HUN,1888,0.6779306
Hungary,HUN,1884,0.67773074
Portugal,PRT,1947,0.6763992
Portugal,PRT,1954,0.67171526
Austria,AUT,1945,0.6681169
Lithuania,LTU,1930,0.6675839
Portugal,PRT,1937,0.66755605
Portugal,PRT,1950,0.66749316
Bulgaria,BGR,1941,0.66653836
Slovakia,SVK,1871,0.6629712
Portugal,PRT,1949,0.66131324
Latvia,LVA,1931,0.6607587
Spain,ESP,1920,0.6606284
Romania,ROU,1923,0.65966916
Poland,POL,1863,0.65586
Spain,ESP,1902,0.65554905
Italy,ITA,1908,0.6553477
Italy,ITA,1915,0.6527092
Portugal,PRT,1913,0.6518441
Italy,ITA,1907,0.6477283
Bulgaria,BGR,1944,0.6448091
Italy,ITA,1916,0.6440776
Spain,ESP,1903,0.642644
Hungary,HUN,1883,0.64173406
Portugal,PRT,1930,0.6379018
Portugal,PRT,1951,0.6366939
Portugal,PRT,1948,0.6349517
Hungary,HUN,1886,0.6339297
Denmark,DNK,1874,0.6323806
Spain,ESP,1901,0.6312693
Greece,GRC,1954,0.63111025
Hungary,HUN,1887,0.6287152
Portugal,PRT,1939,0.6279087
Portugal,PRT,1952,0.62768227
Croatia,HRV,1947,0.6264739
Finland,FIN,1940,0.6262735
Bulgaria,BGR,1940,0.62356925
Denmark,DNK,1871,0.6224686
Sweden,SWE,1880,0.6198969
Cyprus,CYP,1952,0.61908793
Portugal,PRT,1912,0.61866874
Spain,ESP,1939,0.61586934
Greece,GRC,1953,0.6136961
Estonia,EST,1897,0.6123688
Greece,GRC,1952,0.6100592
Portugal,PRT,1935,0.60748434
Slovakia,SVK,1870,0.6071216
Denmark,DNK,1870,0.6055265
Italy,ITA,1906,0.60375595
Portugal,PRT,1928,0.6035273
Spain,ESP,1900,0.6034273
Hungary,HUN,1919,0.60226184
Germany,DEU,1853,0.60221237
Sweden,SWE,1881,0.59917504
Austria,AUT,1848,0.5981167
Portugal,PRT,1929,0.59254307
Denmark,DNK,1872,0.59157795
Denmark,DNK,1873,0.5914867
France,FRA,1852,0.59067684
Greece,GRC,1951,0.58902645
Austria,AUT,1850,0.58869374
Italy,ITA,1921,0.588292
Austria,AUT,1851,0.58663684
Denmark,DNK,1868,0.58659893
Romania,ROU,1913,0.58269274
Poland,POL,1862,0.5816763
France,FRA,1847,0.5803729
Sweden,SWE,1877,0.57804954
Austria,AUT,1849,0.57571006
